battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi
1317.0,0.0,1.5,0.0,6.0,0.0,12.0,0.1,154.0,2.0,9.0,431.0,542.0,425.0,7.0,0,11,1,1,1
804.0,1.0,0.8,1.0,12.0,1.0,41.0,0.9,89.0,1.0,13.0,709.0,818.0,2027.0,11.0,5,11,1,0,0
983.0,1.0,1.6,0.0,7.0,1.0,55.0,0.4,168.0,8.0,8.0,205.0,963.0,1425.0,14.0,0,4,1,1,0
1092.0,1.0,0.5,1.0,10.0,0.0,11.0,0.5,167.0,3.0,14.0,468.0,571.0,737.0,14.0,4,11,0,1,0
1056.0,1.0,2.1,1.0,8.0,1.0,37.0,0.7,101.0,3.0,11.0,914.0,979.0,2651.0,15.0,5,3,1,1,1
1273.0,0.0,1.0,0.0,3.0,1.0,48.0,0.4,99.0,4.0,15.0,490.0,886.0,1767.0,18.0,15,11,1,1,0
1111.0,0.0,1.4,1.0,10.0,0.0,15.0,0.5,198.0,7.0,14.0,550.0,666.0,1630.0,13.0,5,2,1,0,1
1537.0,0.0,2.9,0.0,11.0,1.0,46.0,0.8,,4.0,17.0,686.0,1305.0,2857.0,17.0,14,2,1,1,1
1913.0,1.0,1.8,0.0,0.0,0.0,29.0,0.6,111.0,5.0,4.0,675.0,742.0,2023.0,17.0,13,8,1,1,0
1991.0,0.0,0.5,0.0,5.0,0.0,58.0,0.6,109.0,5.0,6.0,912.0,1660.0,1947.0,10.0,5,7,1,0,1
1324.0,0.0,1.7,1.0,9.0,0.0,46.0,0.1,107.0,2.0,19.0,59.0,553.0,1424.0,16.0,7,13,1,0,0
1263.0,0.0,0.5,0.0,12.0,0.0,64.0,0.3,175.0,5.0,18.0,178.0,1883.0,1183.0,14.0,3,17,0,0,1
1348.0,1.0,0.5,1.0,18.0,0.0,40.0,0.1,148.0,1.0,20.0,539.0,665.0,3543.0,12.0,1,11,0,0,0
1276.0,1.0,2.9,,2.0,0.0,53.0,0.3,130.0,2.0,3.0,217.0,735.0,3798.0,19.0,10,8,1,1,1
563.0,1.0,0.5,1.0,2.0,1.0,41.0,0.9,145.0,5.0,6.0,1263.0,1716.0,2603.0,11.0,2,9,1,1,0
501.0,0.0,2.3,0.0,12.0,1.0,54.0,0.3,131.0,4.0,19.0,504.0,,2346.0,13.0,12,2,1,0,1
618.0,1.0,0.5,1.0,2.0,1.0,57.0,0.2,88.0,3.0,7.0,879.0,896.0,2399.0,18.0,15,17,1,1,1
1565.0,1.0,0.5,0.0,0.0,0.0,38.0,0.1,121.0,5.0,1.0,781.0,1364.0,308.0,19.0,17,7,1,1,1
1940.0,1.0,0.9,1.0,4.0,0.0,17.0,0.7,93.0,5.0,7.0,112.0,858.0,2297.0,14.0,6,8,0,1,0
1086.0,1.0,1.7,1.0,0.0,1.0,43.0,0.2,111.0,6.0,1.0,56.0,1150.0,3285.0,11.0,5,17,1,1,0
771.0,0.0,2.9,0.0,2.0,0.0,62.0,0.7,106.0,1.0,8.0,1709.0,1781.0,1628.0,9.0,3,6,0,1,0
1232.0,0.0,1.2,0.0,12.0,0.0,30.0,0.9,131.0,6.0,14.0,625.0,761.0,1656.0,8.0,4,15,1,1,1
669.0,0.0,0.5,1.0,0.0,0.0,46.0,0.7,144.0,2.0,0.0,486.0,1854.0,2981.0,17.0,7,14,0,0,1
627.0,1.0,1.6,1.0,3.0,1.0,12.0,0.2,131.0,7.0,17.0,447.0,819.0,2476.0,17.0,1,10,1,0,0
1031.0,1.0,0.5,1.0,2.0,1.0,31.0,0.1,82.0,8.0,19.0,737.0,1404.0,2305.0,10.0,4,4,1,1,0
1469.0,0.0,1.7,1.0,11.0,1.0,44.0,0.5,169.0,2.0,14.0,484.0,711.0,1687.0,15.0,5,5,1,1,1
1570.0,0.0,0.6,0.0,7.0,0.0,12.0,0.2,141.0,8.0,13.0,487.0,517.0,1895.0,18.0,11,5,0,0,1
1974.0,0.0,0.5,1.0,9.0,0.0,10.0,0.8,145.0,6.0,12.0,530.0,1496.0,1433.0,6.0,1,17,0,0,0
858.0,0.0,2.2,0.0,1.0,0.0,50.0,0.1,84.0,1.0,2.0,528.0,1416.0,3978.0,17.0,16,3,1,1,0
1855.0,0.0,1.0,1.0,8.0,0.0,58.0,0.9,145.0,4.0,14.0,1080.0,1883.0,2834.0,14.0,2,3,1,1,0
1829.0,0.0,0.5,0.0,2.0,1.0,54.0,0.6,98.0,3.0,20.0,383.0,1160.0,1634.0,7.0,0,12,1,0,0
1718.0,1.0,2.5,1.0,14.0,,6.0,0.1,183.0,5.0,16.0,564.0,980.0,3755.0,7.0,1,8,1,1,1
1571.0,0.0,1.4,0.0,0.0,1.0,19.0,0.1,100.0,6.0,1.0,,1398.0,666.0,12.0,10,13,1,1,0
1758.0,1.0,0.5,0.0,11.0,1.0,13.0,0.6,190.0,8.0,14.0,762.0,1864.0,1897.0,6.0,2,15,1,0,0
1234.0,0.0,1.7,1.0,8.0,0.0,17.0,0.9,174.0,6.0,15.0,209.0,725.0,3351.0,12.0,9,19,0,0,1
1004.0,0.0,1.1,1.0,7.0,1.0,8.0,0.8,97.0,2.0,9.0,461.0,919.0,3895.0,14.0,13,20,1,1,0
702.0,0.0,2.6,1.0,2.0,1.0,9.0,0.7,141.0,3.0,3.0,504.0,1570.0,2955.0,10.0,4,19,1,0,0
1656.0,1.0,1.6,1.0,0.0,0.0,16.0,1.0,117.0,7.0,2.0,320.0,899.0,2856.0,14.0,3,20,1,1,1
1462.0,1.0,1.7,1.0,1.0,0.0,25.0,0.2,182.0,7.0,18.0,91.0,1478.0,824.0,15.0,5,13,1,0,1
1723.0,1.0,1.1,1.0,1.0,0.0,42.0,1.0,164.0,8.0,14.0,202.0,1791.0,3587.0,10.0,5,3,1,0,0
502.0,0.0,0.8,0.0,7.0,0.0,52.0,1.0,82.0,6.0,8.0,281.0,1159.0,2666.0,5.0,4,20,1,1,0
1997.0,0.0,2.1,0.0,10.0,1.0,60.0,0.7,84.0,8.0,16.0,1130.0,1687.0,788.0,17.0,15,8,1,0,1
1936.0,1.0,1.9,1.0,13.0,1.0,34.0,0.2,182.0,7.0,14.0,591.0,1089.0,1671.0,6.0,1,9,1,0,1
911.0,1.0,2.2,1.0,1.0,1.0,28.0,0.5,182.0,2.0,2.0,157.0,763.0,2638.0,8.0,4,13,1,1,1
1965.0,1.0,2.6,1.0,0.0,0.0,39.0,0.2,187.0,4.0,3.0,915.0,1965.0,2032.0,11.0,10,16,1,1,1
1034.0,1.0,2.7,1.0,6.0,0.0,37.0,0.7,120.0,7.0,20.0,707.0,1199.0,3625.0,17.0,1,12,0,1,1
1471.0,1.0,2.0,0.0,0.0,1.0,54.0,0.7,127.0,8.0,0.0,193.0,1134.0,3315.0,17.0,1,4,1,0,1
1426.0,1.0,2.5,0.0,2.0,1.0,55.0,0.4,109.0,1.0,7.0,777.0,1032.0,2562.0,5.0,1,3,1,0,0
1646.0,0.0,2.5,0.0,3.0,1.0,25.0,0.6,200.0,2.0,5.0,211.0,1608.0,686.0,8.0,6,11,1,1,0
1538.0,1.0,2.3,,6.0,1.0,13.0,0.2,121.0,7.0,7.0,567.0,986.0,1494.0,18.0,10,12,1,1,1
1800.0,1.0,1.6,1.0,2.0,0.0,23.0,0.8,187.0,2.0,8.0,179.0,1137.0,1966.0,15.0,2,7,0,0,0
1591.0,1.0,2.2,1.0,4.0,1.0,52.0,1.0,161.0,3.0,16.0,548.0,1641.0,282.0,10.0,9,14,1,1,1
557.0,1.0,1.6,0.0,0.0,0.0,24.0,0.5,125.0,3.0,0.0,1131.0,1315.0,1305.0,12.0,8,3,1,0,1
1905.0,0.0,0.6,1.0,9.0,1.0,36.0,0.4,119.0,3.0,20.0,825.0,1542.0,1287.0,13.0,4,16,1,0,0
1439.0,0.0,0.9,0.0,12.0,1.0,20.0,0.8,147.0,1.0,17.0,626.0,932.0,1790.0,19.0,12,15,1,0,1
1099.0,0.0,0.5,0.0,13.0,1.0,61.0,0.3,146.0,3.0,20.0,,1096.0,1699.0,17.0,10,3,1,1,1
1694.0,0.0,1.8,0.0,0.0,0.0,53.0,1.0,186.0,6.0,0.0,1194.0,1208.0,1653.0,7.0,5,6,1,0,0
1042.0,0.0,2.9,0.0,5.0,1.0,48.0,0.2,186.0,4.0,15.0,335.0,532.0,2187.0,9.0,2,5,1,0,0
987.0,0.0,2.0,1.0,1.0,0.0,20.0,0.8,192.0,7.0,,412.0,565.0,1454.0,11.0,3,8,1,1,0
